Point ID,alphat,arc_length,CH4,CO2,G,H2O,k,N2,nut,O2,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,Qdot,qin,qr,reactingCloud1:hsCoeff,reactingCloud1:hsTrans,reactingCloud1:rhokTrans,reactingCloud1:rhoTrans_CH4,reactingCloud1:rhoTrans_CO2,reactingCloud1:rhoTrans_H2O,reactingCloud1:rhoTrans_N2,reactingCloud1:rhoTrans_O2,reactingCloud1:UCoeff,reactingCloud1:UTrans_0,reactingCloud1:UTrans_1,reactingCloud1:UTrans_2,reactingCloud1:UTrans_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
30,0.00102316,7.5,0,0,1837.21,0,9.01024e-05,0.76699,0.00087396,0.23301,101217,0.198554,-117.5,10.45,0,117.964,0,79.5339,3.91533e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.96017e-06,-6.60256e-06,-2.85211e-07,1.11337e-05,1
31,0.00102278,7.75,0,0,1837.21,0,9.00991e-05,0.76699,0.000873637,0.23301,101217,0.19853,-117.25,10.45,0,117.715,0,66.8749,3.29215e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.8601e-06,-6.55727e-06,-2.89164e-07,1.10265e-05,1
32,0.00102241,8,0,0,1837.21,0,9.00959e-05,0.76699,0.000873314,0.23301,101217,0.198506,-117,10.45,0,117.466,0,54.2159,2.66897e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.76004e-06,-6.51198e-06,-2.93118e-07,1.09193e-05,1
33,0.00102203,8.25,0,0,1837.21,0,9.00927e-05,0.76699,0.000872991,0.23301,101217,0.198481,-116.75,10.45,0,117.217,0,41.557,2.04578e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.65997e-06,-6.46669e-06,-2.97071e-07,1.08121e-05,1
34,0.00102165,8.5,0,0,1837.21,0,9.00894e-05,0.76699,0.000872667,0.23301,101217,0.198457,-116.5,10.45,0,116.968,0,28.898,1.4226e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.5599e-06,-6.42141e-06,-3.01024e-07,1.0705e-05,1
35,0.00102127,8.75,0,0,1837.21,0,9.00862e-05,0.76699,0.000872344,0.23301,101217,0.198433,-116.25,10.45,0,116.719,0,16.239,7.99421e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.45984e-06,-6.37612e-06,-3.04977e-07,1.0598e-05,1
36,0.00102089,9,0,0,1837.21,0,9.0083e-05,0.76699,0.000872021,0.23301,101217,0.198409,-116,10.45,0,116.47,0,3.58004,1.7624e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.35977e-06,-6.33083e-06,-3.08931e-07,1.0491e-05,1
37,0.00102021,9.25,0,0,1837.21,0,9.0077e-05,0.76699,0.000871435,0.23301,101217,0.198363,-115.75,10.45,0,116.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.20849e-06,-6.25795e-06,-3.07833e-07,1.03265e-05,1
38,0.0010194,9.5,0,0,1837.21,0,9.00699e-05,0.76699,0.000870746,0.23301,101217,0.198308,-115.5,10.45,0,115.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.03702e-06,-6.17419e-06,-3.04745e-07,1.01394e-05,1
39,0.00101859,9.75,0,0,1837.21,0,9.00629e-05,0.76699,0.000870056,0.23301,101217,0.198253,-115.25,10.45,0,115.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-7.86554e-06,-6.09044e-06,-3.01656e-07,9.95244e-06,1
40,0.00101778,10,0,0,1837.21,0,9.00558e-05,0.76699,0.000869367,0.23301,101217,0.198199,-115,10.45,0,115.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-7.69407e-06,-6.00668e-06,-2.98567e-07,9.76565e-06,1
41,0.00101698,10.25,0,0,1837.21,0,9.00487e-05,0.76699,0.000868677,0.23301,101217,0.198144,-114.75,10.45,0,115.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-7.52259e-06,-5.92292e-06,-2.95478e-07,9.57902e-06,1
42,0.00101617,10.5,0,0,1837.21,0,9.00417e-05,0.76699,0.000867988,0.23301,101217,0.198089,-114.5,10.45,0,114.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-7.35112e-06,-5.83916e-06,-2.92389e-07,9.39256e-06,1
43,0.00101536,10.75,0,0,1837.21,0,9.00346e-05,0.76699,0.000867299,0.23301,101217,0.198034,-114.25,10.45,0,114.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-7.17964e-06,-5.7554e-06,-2.893e-07,9.20628e-06,1
44,0.00101456,11,0,0,1837.21,0,9.00275e-05,0.76699,0.000866609,0.23301,101217,0.19798,-114,10.45,0,114.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-7.00817e-06,-5.67164e-06,-2.86211e-07,9.02019e-06,1
45,0.00101375,11.25,0,0,1837.21,0,9.00205e-05,0.76699,0.00086592,0.23301,101217,0.197925,-113.75,10.45,0,114.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-6.8367e-06,-5.58788e-06,-2.83122e-07,8.83431e-06,1
46,0.00101294,11.5,0,0,1837.21,0,9.00134e-05,0.76699,0.000865231,0.23301,101217,0.19787,-113.5,10.45,0,113.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-6.66522e-06,-5.50413e-06,-2.80033e-07,8.64864e-06,1
47,0.00101214,11.75,0,0,1837.21,0,9.00064e-05,0.76699,0.000864541,0.23301,101217,0.197815,-113.25,10.45,0,113.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-6.49375e-06,-5.42037e-06,-2.76945e-07,8.46321e-06,1
48,0.00101133,12,0,0,1837.21,0,8.99993e-05,0.76699,0.000863852,0.23301,101217,0.197761,-113,10.45,0,113.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-6.32227e-06,-5.33661e-06,-2.73856e-07,8.27802e-06,1
49,0.00101052,12.25,0,0,1837.21,0,8.99922e-05,0.76699,0.000863163,0.23301,101217,0.197706,-112.75,10.45,0,113.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-6.1508e-06,-5.25285e-06,-2.70767e-07,8.09309e-06,1
50,0.00100971,12.5,0,0,1837.21,0,8.99852e-05,0.76699,0.000862473,0.23301,101217,0.197651,-112.5,10.45,0,112.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-5.97933e-06,-5.16909e-06,-2.67678e-07,7.90845e-06,1
51,0.00100891,12.75,0,0,1837.21,0,8.99781e-05,0.76699,0.000861784,0.23301,101217,0.197597,-112.25,10.45,0,112.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-5.80785e-06,-5.08533e-06,-2.64589e-07,7.7241e-06,1
52,0.0010081,13,0,0,1837.21,0,8.9971e-05,0.76699,0.000861095,0.23301,101217,0.197542,-112,10.45,0,112.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-5.63638e-06,-5.00158e-06,-2.615e-07,7.54009e-06,1
53,0.00100729,13.25,0,0,1837.21,0,8.9964e-05,0.76699,0.000860405,0.23301,101217,0.197487,-111.75,10.45,0,112.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-5.4649e-06,-4.91782e-06,-2.58411e-07,7.35642e-06,1
54,0.00100649,13.5,0,0,1837.21,0,8.99569e-05,0.76699,0.000859716,0.23301,101217,0.197432,-111.5,10.45,0,111.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-5.29343e-06,-4.83406e-06,-2.55322e-07,7.17312e-06,1
55,0.00100568,13.75,0,0,1837.21,0,8.99499e-05,0.76699,0.000859027,0.23301,101217,0.197378,-111.25,10.45,0,111.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-5.12196e-06,-4.7503e-06,-2.52234e-07,6.99024e-06,1
56,0.00100487,14,0,0,1837.21,0,8.99428e-05,0.76699,0.000858337,0.23301,101217,0.197323,-111,10.45,0,111.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-4.95048e-06,-4.66654e-06,-2.49145e-07,6.80779e-06,1
57,0.00100406,14.25,0,0,1837.21,0,8.99357e-05,0.76699,0.000857648,0.23301,101217,0.197268,-110.75,10.45,0,111.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-4.77901e-06,-4.58278e-06,-2.46056e-07,6.62581e-06,1
58,0.00100326,14.5,0,0,1837.21,0,8.99287e-05,0.76699,0.000856959,0.23301,101217,0.197214,-110.5,10.45,0,110.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-4.60753e-06,-4.49902e-06,-2.42967e-07,6.44435e-06,1
59,0.00100245,14.75,0,0,1837.21,0,8.99216e-05,0.76699,0.000856269,0.23301,101217,0.197159,-110.25,10.45,0,110.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-4.43606e-06,-4.41527e-06,-2.39878e-07,6.26344e-06,1
60,0.00100164,15,0,0,1837.21,0,8.99146e-05,0.76699,0.00085558,0.23301,101217,0.197104,-110,10.45,0,110.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-4.26459e-06,-4.33151e-06,-2.36789e-07,6.08315e-06,1
61,0.00100084,15.25,0,0,1837.21,0,8.99075e-05,0.76699,0.000854891,0.23301,101217,0.197049,-109.75,10.45,0,110.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-4.09311e-06,-4.24775e-06,-2.337e-07,5.90352e-06,1
62,0.00100003,15.5,0,0,1837.21,0,8.99004e-05,0.76699,0.000854201,0.23301,101217,0.196995,-109.5,10.45,0,109.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-3.92164e-06,-4.16399e-06,-2.30611e-07,5.72462e-06,1
63,0.000999223,15.75,0,0,1837.21,0,8.98934e-05,0.76699,0.000853512,0.23301,101217,0.19694,-109.25,10.45,0,109.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-3.75016e-06,-4.08023e-06,-2.27522e-07,5.54651e-06,1
64,0.000998416,16,0,0,1837.21,0,8.98863e-05,0.76699,0.000852823,0.23301,101217,0.196885,-109,10.45,0,109.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-3.57869e-06,-3.99647e-06,-2.24434e-07,5.36928e-06,1
65,0.000997609,16.25,0,0,1837.21,0,8.98792e-05,0.76699,0.000852133,0.23301,101217,0.19683,-108.75,10.45,0,109.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-3.40721e-06,-3.91271e-06,-2.21345e-07,5.19302e-06,1
66,0.000996802,16.5,0,0,1837.21,0,8.98722e-05,0.76699,0.000851444,0.23301,101217,0.196776,-108.5,10.45,0,109.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-3.23574e-06,-3.82896e-06,-2.18256e-07,5.01782e-06,1
67,0.000995995,16.75,0,0,1837.21,0,8.98651e-05,0.76699,0.000850755,0.23301,101217,0.196721,-108.25,10.45,0,108.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-3.06427e-06,-3.7452e-06,-2.15167e-07,4.84381e-06,1
68,0.000995188,17,0,0,1837.21,0,8.98581e-05,0.76699,0.000850065,0.23301,101217,0.196666,-108,10.45,0,108.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-2.89279e-06,-3.66144e-06,-2.12078e-07,4.67112e-06,1
69,0.000994381,17.25,0,0,1837.21,0,8.9851e-05,0.76699,0.000849376,0.23301,101217,0.196612,-107.75,10.45,0,108.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-2.72132e-06,-3.57768e-06,-2.08989e-07,4.49989e-06,1
70,0.000993569,17.5,0,0,1837.21,0,8.98439e-05,0.76699,0.000848682,0.23301,101217,0.196554,-107.5,10.45,0,108.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-2.5499e-06,-3.50288e-06,-2.068e-07,4.33762e-06,1
71,0.000992719,17.75,0,0,1837.21,0,8.98361e-05,0.76699,0.000847957,0.23301,101217,0.196476,-107.25,10.45,0,107.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-2.37894e-06,-3.4956e-06,-2.11392e-07,4.23359e-06,1
72,0.00099187,18,0,0,1837.21,0,8.98283e-05,0.76699,0.000847231,0.23301,101217,0.196398,-107,10.45,0,107.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-2.20798e-06,-3.48832e-06,-2.15984e-07,4.13403e-06,1
73,0.000991021,18.25,0,0,1837.21,0,8.98205e-05,0.76699,0.000846506,0.23301,101217,0.196319,-106.75,10.45,0,107.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-2.03701e-06,-3.48104e-06,-2.20576e-07,4.03928e-06,1
74,0.000990171,18.5,0,0,1837.21,0,8.98127e-05,0.76699,0.000845781,0.23301,101217,0.196241,-106.5,10.45,0,107.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.86605e-06,-3.47377e-06,-2.25168e-07,3.94967e-06,1
75,0.000989322,18.75,0,0,1837.21,0,8.98049e-05,0.76699,0.000845055,0.23301,101217,0.196163,-106.25,10.45,0,106.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.69508e-06,-3.46649e-06,-2.2976e-07,3.86557e-06,1
76,0.000988473,19,0,0,1837.21,0,8.97971e-05,0.76699,0.00084433,0.23301,101217,0.196085,-106,10.45,0,106.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.52412e-06,-3.45921e-06,-2.34353e-07,3.78735e-06,1
77,0.000987623,19.25,0,0,1837.21,0,8.97893e-05,0.76699,0.000843604,0.23301,101217,0.196007,-105.75,10.45,0,106.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.35316e-06,-3.45194e-06,-2.38945e-07,3.71537e-06,1
78,0.000986774,19.5,0,0,1837.21,0,8.97815e-05,0.76699,0.000842879,0.23301,101217,0.195928,-105.5,10.45,0,106.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.18219e-06,-3.44466e-06,-2.43537e-07,3.65001e-06,1
79,0.000985925,19.75,0,0,1837.21,0,8.97737e-05,0.76699,0.000842153,0.23301,101217,0.19585,-105.25,10.45,0,105.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.01123e-06,-3.43738e-06,-2.48129e-07,3.59162e-06,1
